time,SWE_accum,mean_ivt,max_ivt,SWE_diff
1983-01-01,13.2,6.999255088474977,9.964024398111661,
1983-01-02,13.2,7.894704003283349,10.704632254722393,0.0
1983-01-03,13.2,8.022863171068593,17.162482590811447,0.0
1983-01-04,13.2,42.5402941663363,63.45783521442957,0.0
1983-01-05,13.2,35.449962136689855,41.96996508198952,0.0
1983-01-06,13.2,47.79084667166237,58.27775425323285,0.0
1983-01-07,13.2,71.31476993077426,92.99757262562365,0.0
1983-01-08,13.2,37.834685495503315,56.342260786820646,0.0
1983-01-09,13.2,33.857212519522115,60.545474211073085,0.0
1983-01-10,13.2,48.3580642574893,78.88292154974745,0.0
1983-01-11,13.0,31.753839876537167,53.179708183403925,-0.1999999999999993
1983-01-12,12.8,5.889691076726351,11.833705369476025,-0.1999999999999993
1983-01-13,12.8,5.244159871602098,7.958657639132026,0.0
1983-01-14,12.8,4.108207884001019,7.038193138774436,0.0
1983-01-15,12.8,7.554852594125119,13.747844917079135,0.0
1983-01-16,12.8,15.529126486481866,21.759648262599377,0.0
1983-01-17,12.8,31.165634668625803,62.475247799921576,0.0
1983-01-18,12.9,25.785293683222097,36.63909759704502,0.09999999999999964
1983-01-19,12.9,15.935512812343987,29.138118431844628,0.0
1983-01-20,12.9,36.93779085043126,44.14505701079893,0.0
1983-01-21,12.9,25.408041043318303,36.43518860325619,0.0
1983-01-22,12.9,13.657473166457015,39.297416010771954,0.0
1983-01-23,12.9,37.64274255918561,66.60505519750028,0.0
1983-01-24,12.9,42.74799815004548,69.77388819158598,0.0
1983-01-25,13.0,40.01053178440818,73.19060295224863,0.09999999999999964
1983-01-26,13.1,46.41354158079381,62.19949561701578,0.09999999999999964
1983-01-27,13.8,66.33369365048127,81.74489517576792,0.7000000000000011
1983-01-28,13.8,48.47373422129143,75.8971759966444,0.0
1983-01-29,13.8,39.280437764268825,86.98856286111003,0.0
1983-01-30,14.0,31.588769348226947,70.3204685704859,0.1999999999999993
1983-01-31,14.2,19.845437168357634,28.831327922948212,0.1999999999999993
1983-02-01,14.2,8.421530990671261,11.495848707067246,0.0
1983-02-02,14.2,8.881114382676587,12.605624807234047,0.0
1983-02-03,14.2,21.57089652061749,33.10307533634953,0.0
1983-02-04,14.4,33.0226905719333,46.313281919907894,0.20000000000000107
1983-02-05,15.0,22.58913761469454,33.05017097214104,0.5999999999999996
1983-02-06,15.0,10.293691354151699,15.138690363804878,0.0
1983-02-07,15.2,43.101486568343546,74.58525450919046,0.1999999999999993
1983-02-08,15.7,42.8884778121264,62.66779776718932,0.5
1983-02-09,15.8,26.006516818137403,45.502121212196656,0.10000000000000142
1983-02-10,16.0,25.366547182797984,39.82632751068774,0.1999999999999993
1983-02-11,16.0,22.714838938347395,36.825680866271355,0.0
1983-02-12,16.0,25.745219939799046,48.4954480536785,0.0
1983-02-13,16.0,33.36944271426648,42.419316887742255,0.0
1983-02-14,16.0,29.210708827247075,44.10892988595634,0.0
1983-02-15,16.0,32.3975062958127,56.205169082595866,0.0
1983-02-16,16.3,44.074612561765385,59.81883200524475,0.3000000000000007
1983-02-17,16.3,31.80300466935324,45.568098623864614,0.0
1983-02-18,16.3,44.30472722193756,71.72310485269837,0.0
1983-02-19,16.3,49.69577397847387,77.1877935706599,0.0
1983-02-20,16.5,29.237189115153143,63.19342024223735,0.1999999999999993
1983-02-21,16.6,24.48136049009229,40.93297335305466,0.10000000000000142
1983-02-22,16.6,11.733929366680707,16.78101141648453,0.0
1983-02-23,16.6,13.562494978138524,26.100393187000478,0.0
1983-02-24,16.6,8.851330923836727,23.546075101883837,0.0
1983-02-25,17.5,30.99095491597493,41.692324917211685,0.8999999999999986
1983-02-26,17.6,31.15140518846063,42.57055598388263,0.10000000000000142
1983-02-27,17.6,29.597741689765627,51.742143679555355,0.0
1983-02-28,18.5,56.972138158584805,72.10458170013392,0.8999999999999986
1983-03-01,18.8,54.89872630902507,69.53922245838736,0.3000000000000007
1983-03-02,18.8,73.57542907869156,93.44446219089782,0.0
1983-03-03,18.8,56.44226258614058,79.34120952072321,0.0
1983-03-04,19.3,28.756555051870134,63.0296896752357,0.5
1983-03-05,19.5,48.43910908097755,72.88557173389067,0.1999999999999993
1983-03-06,19.5,46.81926830591618,74.64951114825506,0.0
1983-03-07,19.5,57.182734023659236,69.70897964125048,0.0
1983-03-08,19.5,42.83198764290438,53.79331635642628,0.0
1983-03-09,19.5,34.39391075276076,42.7783420780985,0.0
1983-03-10,20.0,17.66021786136568,25.03659925126063,0.5
1983-03-11,20.0,34.74629316656051,53.106992632561,0.0
1983-03-12,20.1,39.13533193976112,50.745146013200596,0.10000000000000142
1983-03-13,20.1,25.54005612535262,44.65290097086794,0.0
1983-03-14,20.3,64.16931772314273,93.37973417299497,0.1999999999999993
1983-03-15,20.3,15.28425201796017,34.473631276712936,0.0
1983-03-16,20.3,13.953103799691547,28.168837104454884,0.0
1983-03-17,20.3,35.81441403403519,53.17396615769218,0.0
1983-03-18,21.8,44.85141194292796,52.74506353182768,1.5
1983-03-19,22.4,20.492781299433158,43.13195782684803,0.5999999999999979
1983-03-20,22.6,15.040465022768876,18.22049625337316,0.20000000000000284
1983-03-21,22.6,11.519812506646687,22.271279914219658,0.0
1983-03-22,23.0,20.248038003187116,26.91544869528987,0.3999999999999986
1983-03-23,23.1,20.34811292605715,24.311454528637977,0.10000000000000142
1983-03-24,23.1,36.28761497885329,76.10933015902832,0.0
1983-03-25,23.7,23.14309884388986,67.263766433728,0.5999999999999979
