time,SWE_accum,mean_ivt,max_ivt,SWE_diff
1987-01-01,6.5,17.961835125066262,50.241601457104366,
1987-01-02,7.1,75.94420950528554,122.50352704204309,0.5999999999999996
1987-01-03,7.6,53.890049260772884,124.47372833689174,0.5
1987-01-04,7.6,125.46396166226815,148.467270629863,0.0
1987-01-05,7.7,115.03622994791029,149.8268831022059,0.10000000000000053
1987-01-06,8.3,55.10351417010414,76.923618738992,0.6000000000000005
1987-01-07,8.3,19.94192618370497,29.252365772324602,0.0
1987-01-08,8.3,8.097561129836832,13.463468577301386,0.0
1987-01-09,8.2,24.453129370380235,43.38724913624046,-0.10000000000000142
1987-01-10,8.2,28.967677494109967,46.51440275981818,0.0
1987-01-11,8.2,34.420430147742394,62.196394702146286,0.0
1987-01-12,8.2,17.349459577648222,28.31476417241447,0.0
1987-01-13,8.2,25.158101648629383,54.14929348973431,0.0
1987-01-14,8.2,47.960182915695974,87.11083489508684,0.0
1987-01-15,8.1,25.612168183970407,42.93788681550043,-0.09999999999999964
1987-01-16,8.1,23.99495296933834,43.54828438669046,0.0
1987-01-17,8.1,9.754317664026987,24.798715674081127,0.0
1987-01-18,8.1,37.252182076534865,47.22870686004491,0.0
1987-01-19,8.1,16.96961875312293,44.62966294063243,0.0
1987-01-20,8.1,13.235707006900421,48.43353116730971,0.0
1987-01-21,8.1,43.21396972759839,63.18144756451999,0.0
1987-01-22,8.1,43.079666448792715,62.97504990673721,0.0
1987-01-23,8.3,70.18914625680577,88.96289987185013,0.20000000000000107
1987-01-24,8.3,48.7100535626766,76.2620817292823,0.0
1987-01-25,8.7,108.65921347011067,148.08894931668004,0.3999999999999986
1987-01-26,9.6,130.7879338886307,157.58288565931528,0.9000000000000004
1987-01-27,9.6,91.8835663615663,144.60331350043464,0.0
1987-01-28,9.6,108.47945474430365,182.59587206025697,0.0
1987-01-29,9.8,56.04268680155838,150.7321295937941,0.20000000000000107
1987-01-30,10.0,40.446449454382716,113.8369456425413,0.1999999999999993
1987-01-31,10.3,63.30305934400284,109.679238894217,0.3000000000000007
1987-02-01,10.6,81.9253631873151,119.13995768756162,0.29999999999999893
1987-02-02,10.8,123.78400630808426,166.92314720384744,0.20000000000000107
1987-02-03,10.8,97.79167362440374,112.49737814414704,0.0
1987-02-04,10.9,56.15317614714389,90.7100639813847,0.09999999999999964
1987-02-05,10.9,22.163853991590884,29.607648318705234,0.0
1987-02-06,11.2,19.50974413297345,27.587902688074525,0.29999999999999893
1987-02-07,11.2,14.08785207188283,25.1841335468037,0.0
1987-02-08,11.3,17.743394131329538,25.341746182167668,0.10000000000000142
1987-02-09,11.3,24.270798568369305,39.99490754378073,0.0
1987-02-10,11.3,61.48253826924337,77.37808889566699,0.0
1987-02-11,11.3,40.91164607869744,62.17879122487748,0.0
1987-02-12,11.4,22.07203465227269,49.441056999250506,0.09999999999999964
1987-02-13,11.6,51.527536789317885,83.67703065748184,0.1999999999999993
1987-02-14,11.8,48.27706735015829,94.83857063364502,0.20000000000000107
1987-02-15,11.8,26.113573150232426,79.00547930184402,0.0
1987-02-16,11.9,11.202644426161328,21.77280134258709,0.09999999999999964
1987-02-17,12.0,8.765404983272573,14.012903504727621,0.09999999999999964
1987-02-18,12.0,6.07741428512868,12.276648372916707,0.0
1987-02-19,12.0,16.136790697368337,23.36753292637848,0.0
1987-02-20,12.1,17.222707519586802,28.91873716080435,0.09999999999999964
1987-02-21,12.1,10.271605020542983,14.545949257747568,0.0
1987-02-22,12.1,18.52110136058754,43.57390886914742,0.0
1987-02-23,12.1,44.181077924356515,59.07121684493967,0.0
1987-02-24,12.2,29.770898718699744,37.16110693586327,0.09999999999999964
1987-02-25,12.3,37.322449970799205,50.07261547726405,0.10000000000000142
1987-02-26,12.4,33.71385570716172,50.00655746848362,0.09999999999999964
1987-02-27,12.4,17.77688834034897,44.42607931562265,0.0
1987-02-28,12.4,18.27204036648799,25.904130359844494,0.0
1987-03-01,12.4,40.75559642569311,60.111707898417144,0.0
1987-03-02,12.4,28.3022667964127,51.332795335421686,0.0
1987-03-03,12.4,15.674298467488287,18.638148714360128,0.0
1987-03-04,12.5,20.479552478122756,36.271765241098606,0.09999999999999964
1987-03-05,12.5,17.737387885535547,34.93947165723134,0.0
1987-03-06,12.5,11.745389263183094,16.983791365290784,0.0
1987-03-07,12.5,14.632840497737211,18.62381918448076,0.0
1987-03-08,12.5,33.27174291055014,42.10081936582875,0.0
1987-03-09,12.6,35.68677704688488,41.79828056872855,0.09999999999999964
1987-03-10,12.6,27.678214004698543,43.527532244431,0.0
1987-03-11,12.6,44.63517456901559,84.8167863409773,0.0
1987-03-12,12.6,32.52426054607892,57.27159365129968,0.0
1987-03-13,12.6,61.47931544930045,100.22678780195135,0.0
1987-03-14,12.6,65.37894455504883,112.89532453873983,0.0
1987-03-15,12.7,52.40155730732613,81.12513148057857,0.09999999999999964
1987-03-16,12.9,36.43745709769609,60.92771620009652,0.20000000000000107
1987-03-17,13.2,14.030082765454637,36.1196632394518,0.29999999999999893
1987-03-18,13.8,51.640760204104744,79.10982024880538,0.6000000000000014
1987-03-19,14.3,106.41292733967043,122.53896662290965,0.5
1987-03-20,15.0,57.76407212994252,99.16802150442386,0.6999999999999993
1987-03-21,15.7,27.44115000645562,43.92487150819116,0.6999999999999993
1987-03-22,16.0,23.33962616478853,51.12770178193915,0.3000000000000007
1987-03-23,16.3,13.197731010889415,19.1784239188831,0.3000000000000007
1987-03-24,16.5,23.9659120802532,31.21278423426127,0.1999999999999993
