time,SWE_accum,mean_ivt,max_ivt,SWE_diff
1986-01-01,24.3,23.97892320728265,39.97365087562897,
1986-01-02,24.3,45.04169922801008,81.40227115674925,0.0
1986-01-03,24.3,42.89297229352976,65.74015714022256,0.0
1986-01-04,24.3,28.692455998763137,68.04747261683782,0.0
1986-01-05,24.3,42.23749848980764,71.22238454040888,0.0
1986-01-06,24.5,48.32231111826808,66.62907016154787,0.1999999999999993
1986-01-07,24.8,18.873143640594094,34.56924922718583,0.3000000000000007
1986-01-08,24.8,31.95543592216318,47.56177995300693,0.0
1986-01-09,25.0,29.220760540208275,33.14164193808366,0.1999999999999993
1986-01-10,25.0,28.411481124917646,54.49948584899513,0.0
1986-01-11,25.0,24.35746038405345,34.46259674871,0.0
1986-01-12,25.0,15.405681439008518,20.48977350147963,0.0
1986-01-13,25.0,17.552135873480747,22.076611988228876,0.0
1986-01-14,25.0,8.1237482129854,17.283174009623856,0.0
1986-01-15,25.0,35.20069851954303,68.37338884119643,0.0
1986-01-16,25.1,52.672595300802755,68.93900579185103,0.10000000000000142
1986-01-17,25.1,66.41730208703267,83.86595836638905,0.0
1986-01-18,25.1,68.93983427146723,93.45380513518292,0.0
1986-01-19,25.1,34.12400372685527,77.06200966723434,0.0
1986-01-20,25.3,60.69609537677402,87.16620711313915,0.1999999999999993
1986-01-21,25.5,39.22300196596202,100.06416219559381,0.1999999999999993
1986-01-22,25.5,38.745419401219586,60.546522953698066,0.0
1986-01-23,25.5,84.50465997857704,102.91516646414198,0.0
1986-01-24,25.5,49.59581576098259,106.29413843238386,0.0
1986-01-25,25.5,37.27320008617229,50.79940631869374,0.0
1986-01-26,25.5,37.14272062870429,43.20642762484046,0.0
1986-01-27,25.5,18.521162299652914,32.834272388963356,0.0
1986-01-28,25.5,36.96677011742734,91.04080896105184,0.0
1986-01-29,25.5,86.27412189936435,103.7731473609375,0.0
1986-01-30,25.5,71.42224255359365,102.91918734074267,0.0
1986-01-31,25.6,84.70026624758829,127.65569651205765,0.10000000000000142
1986-02-01,25.7,30.312419649779713,57.165343622527026,0.09999999999999787
1986-02-02,25.7,22.513744952731134,39.71425555102873,0.0
1986-02-03,25.8,24.414410398309286,39.544651831766565,0.10000000000000142
1986-02-04,26.2,9.963963894062182,15.213835525612193,0.3999999999999986
1986-02-05,26.2,4.412699527458483,7.751265136342396,0.0
1986-02-06,26.2,6.824196030524338,10.050036994633238,0.0
1986-02-07,26.2,15.16458988076316,22.46735619161737,0.0
1986-02-08,26.5,19.730285801158626,21.094888292269268,0.3000000000000007
1986-02-09,26.6,18.377099695761025,21.777517773306734,0.10000000000000142
1986-02-10,26.6,12.929695636146059,19.84023431800783,0.0
1986-02-11,26.8,27.133558942142177,32.51554008659595,0.1999999999999993
1986-02-12,27.0,44.119406786339304,100.5745228926645,0.1999999999999993
1986-02-13,27.5,128.51991790653594,149.92176156799803,0.5
1986-02-14,29.1,100.38036435255657,175.47660649347176,1.6000000000000014
1986-02-15,30.2,163.50248816218405,183.19776621065583,1.0999999999999979
1986-02-16,32.2,86.87937806521666,122.12266317617224,2.0000000000000036
1986-02-17,33.6,102.69148737939047,177.17061062743326,1.3999999999999986
1986-02-18,35.1,174.60237506242993,224.80738279437,1.5
1986-02-19,36.6,160.31413077757006,192.41432199276608,1.5
1986-02-20,40.1,125.08675201879889,202.39534766556886,3.5
1986-02-21,41.1,28.351050137168574,46.8889824906542,1.0
1986-02-22,41.1,36.740052566595914,62.44685979241963,0.0
1986-02-23,41.2,90.63384849279312,114.16345689371695,0.10000000000000142
1986-02-24,41.3,79.53786796099357,111.38584836498319,0.09999999999999432
1986-02-25,41.5,33.11453727900266,43.34327945715889,0.20000000000000284
1986-02-26,41.6,64.46937943143222,101.08330476091669,0.10000000000000142
1986-02-27,41.6,48.29552987459143,73.34239317045541,0.0
1986-02-28,41.6,27.496650805003956,40.91674486198144,0.0
1986-03-01,41.6,26.354964363187335,32.09427268306444,0.0
1986-03-02,41.6,12.336513682673408,25.209847519145463,0.0
1986-03-03,41.6,18.61327844262307,31.659353178956643,0.0
1986-03-04,41.6,17.96281726795195,28.252522678018757,0.0
1986-03-05,41.7,27.77691151070137,44.16176156389498,0.10000000000000142
1986-03-06,41.8,19.97451814646544,27.522934590438066,0.09999999999999432
1986-03-07,42.1,43.754025743102396,61.93259100574628,0.30000000000000426
1986-03-08,42.3,84.63573057016866,131.92963904499152,0.19999999999999574
1986-03-09,43.5,123.0132345155492,186.7448521472607,1.2000000000000028
1986-03-10,44.3,52.71117451317797,80.99055897318377,0.7999999999999972
1986-03-11,45.0,28.630955746233855,53.33553910744703,0.7000000000000028
1986-03-12,45.4,18.558160553343278,22.270157568085917,0.3999999999999986
1986-03-13,45.6,7.550771090864207,17.24879515391978,0.20000000000000284
1986-03-14,46.0,12.095170221706951,19.624477985742192,0.3999999999999986
1986-03-15,46.6,20.289566211694876,31.18611021069619,0.6000000000000014
1986-03-16,46.6,30.640991479082007,54.193207728160694,0.0
1986-03-17,46.7,30.097722200800266,55.48919265935438,0.10000000000000142
1986-03-18,46.8,24.04172024225643,30.927856386919046,0.09999999999999432
1986-03-19,46.8,28.364852515967744,46.43005280643508,0.0
1986-03-20,46.9,44.93420578401225,54.01649232058652,0.10000000000000142
1986-03-21,46.9,17.835299648016203,31.323865512072796,0.0
1986-03-22,46.9,21.913265916930783,31.449246665589197,0.0
1986-03-23,46.9,29.689969704785586,38.67088416214942,0.0
1986-03-24,46.9,36.4882608594768,55.522100146108166,0.0
