lat,lon
58.75,-93.5
58.5,-137.5
58.5,-137.25
58.5,-137.0
58.5,-93.25
58.5,-93.0
58.25,-136.75
58.25,-92.75
58.0,-136.5
58.0,-92.75
57.75,-136.25
57.75,-92.75
57.5,-136.0
57.5,-92.5
57.25,-135.75
57.25,-92.25
57.25,-91.5
57.25,-91.25
57.25,-91.0
57.25,-90.75
57.25,-90.5
57.25,-90.25
57.0,-135.5
57.0,-92.0
57.0,-91.75
57.0,-90.0
57.0,-89.75
57.0,-89.5
56.75,-135.25
56.75,-89.25
56.75,-89.0
56.75,-88.75
56.75,-88.5
56.5,-135.0
56.5,-134.75
56.5,-134.5
56.5,-134.25
56.5,-88.25
56.5,-88.0
56.25,-134.0
56.25,-87.75
56.25,-87.5
56.0,-133.75
56.0,-87.25
55.75,-133.5
55.75,-87.0
55.75,-86.75
55.75,-86.5
55.75,-86.25
55.5,-133.5
55.5,-86.0
55.5,-85.75
55.5,-85.5
55.25,-133.25
55.25,-131.75
55.25,-131.5
55.25,-85.25
55.25,-85.0
55.25,-84.75
55.25,-84.5
55.25,-84.25
55.25,-84.0
55.25,-83.75
55.25,-83.5
55.25,-83.25
55.25,-83.0
55.0,-133.25
55.0,-133.0
55.0,-132.75
55.0,-132.5
55.0,-132.0
55.0,-131.25
55.0,-82.75
55.0,-82.5
55.0,-82.25
54.75,-132.25
54.75,-131.0
54.75,-130.75
54.75,-82.25
54.5,-130.5
54.5,-82.25
54.25,-130.5
54.25,-82.25
54.0,-130.5
54.0,-82.25
53.75,-130.5
53.75,-82.25
53.5,-130.5
53.5,-82.25
53.25,-130.25
53.25,-130.0
53.25,-129.75
53.25,-82.0
53.25,-81.5
53.0,-129.5
53.0,-81.75
53.0,-81.5
53.0,-81.25
53.0,-81.0
53.0,-80.75
52.75,-129.25
52.75,-81.75
52.75,-81.0
52.75,-80.75
52.5,-129.0
52.5,-128.75
52.5,-81.5
52.25,-128.5
52.25,-81.25
52.0,-128.25
52.0,-81.0
52.0,-80.75
51.75,-128.0
51.75,-80.75
51.5,-128.0
51.5,-80.5
51.25,-127.75
51.25,-80.25
51.25,-80.0
51.0,-127.5
50.75,-128.5
50.75,-128.25
50.75,-128.0
50.75,-127.75
50.5,-128.0
50.25,-128.0
50.0,-127.75
50.0,-127.5
49.75,-127.25
49.75,-127.0
49.5,-126.75
49.5,-126.5
49.25,-126.25
49.25,-126.0
49.25,-125.75
49.0,-125.5
49.0,-125.25
48.75,-125.0
48.75,-124.75
48.5,-124.5
48.25,-124.5
48.0,-124.5
47.75,-124.5
47.5,-124.5
47.25,-124.25
47.0,-124.0
46.75,-124.0
46.5,-124.0
46.25,-124.0
46.0,-124.0
45.75,-124.0
45.5,-124.0
45.25,-124.0
45.0,-124.0
44.75,-124.0
44.5,-124.0
44.25,-124.25
44.0,-124.25
43.75,-124.25
43.5,-124.25
43.25,-124.25
43.0,-124.5
42.75,-124.5
42.5,-124.5
42.25,-124.5
42.0,-124.25
41.75,-124.25
41.5,-124.0
41.25,-124.0
41.0,-124.0
40.75,-124.25
40.5,-124.25
40.25,-124.25
40.0,-124.0
39.75,-123.75
39.5,-123.75
39.25,-123.75
39.0,-123.75
38.75,-123.5
38.5,-123.25
38.25,-123.0
38.0,-122.75
37.75,-122.5
37.5,-122.5
37.25,-122.5
37.25,-122.25
37.0,-122.0
36.75,-121.75
36.5,-121.75
36.25,-121.75
36.0,-121.5
35.75,-121.25
35.5,-121.0
35.25,-120.75
35.0,-120.75
34.75,-120.75
34.5,-120.5
34.5,-120.25
34.5,-120.0
34.5,-119.75
34.5,-119.5
34.25,-119.25
34.0,-119.25
34.0,-119.0
34.0,-118.75
34.0,-118.5
33.75,-118.25
33.75,-118.0
33.5,-117.75
33.25,-117.5
33.0,-117.25
32.75,-117.25
32.75,-80.0
32.5,-117.25
32.5,-80.25
32.25,-117.0
32.25,-80.5
32.0,-117.0
32.0,-81.0
32.0,-80.75
31.75,-116.75
31.75,-114.5
31.75,-81.25
31.5,-116.5
31.5,-114.75
31.5,-114.25
31.5,-114.0
31.5,-113.75
31.5,-81.25
31.25,-116.5
31.25,-114.75
31.25,-113.5
31.25,-113.25
31.25,-81.25
31.0,-116.25
31.0,-114.75
31.0,-113.0
31.0,-81.5
30.75,-116.0
30.75,-114.75
30.75,-113.0
30.75,-81.5
30.5,-116.0
30.5,-114.75
30.5,-113.0
30.5,-89.0
30.5,-88.75
30.5,-88.5
30.5,-88.25
30.5,-88.0
30.5,-87.75
30.5,-87.5
30.5,-87.25
30.5,-87.0
30.5,-86.75
30.5,-86.5
30.5,-86.25
30.5,-81.5
30.25,-115.75
30.25,-114.75
30.25,-112.75
30.25,-89.25
30.25,-86.0
30.25,-85.75
30.25,-81.5
30.0,-115.75
30.0,-114.5
30.0,-112.75
30.0,-89.5
30.0,-85.5
30.0,-84.5
30.0,-84.25
30.0,-84.0
30.0,-83.75
30.0,-81.25
29.75,-115.75
29.75,-114.25
29.75,-114.0
29.75,-112.5
29.75,-94.25
29.75,-94.0
29.75,-93.75
29.75,-93.5
29.75,-93.25
29.75,-93.0
29.75,-92.75
29.75,-91.75
29.75,-89.5
29.75,-85.25
29.75,-85.0
29.75,-84.75
29.75,-83.5
29.75,-81.25
29.5,-115.5
29.5,-115.25
29.5,-113.75
29.5,-113.5
29.5,-112.5
29.5,-94.75
29.5,-94.5
29.5,-92.5
29.5,-92.25
29.5,-92.0
29.5,-91.5
29.5,-90.0
29.5,-89.75
29.5,-89.5
29.5,-83.25
29.5,-81.25
29.25,-115.0
29.25,-113.5
29.25,-112.25
29.25,-95.0
29.25,-91.25
29.25,-91.0
29.25,-90.75
29.25,-90.5
29.25,-90.25
29.25,-83.25
29.25,-83.0
29.25,-81.0
29.0,-114.75
29.0,-113.5
29.0,-112.5
29.0,-112.25
29.0,-95.25
29.0,-82.75
29.0,-81.0
28.75,-114.5
28.75,-114.25
28.75,-113.25
28.75,-112.5
28.75,-112.0
28.75,-96.25
28.75,-96.0
28.75,-95.75
28.75,-95.5
28.75,-82.5
28.75,-80.75
28.5,-114.0
28.5,-113.0
28.5,-111.75
28.5,-111.5
28.5,-96.5
28.5,-82.5
28.5,-80.5
28.25,-114.0
28.25,-112.75
28.25,-111.25
28.25,-96.75
28.25,-82.75
28.25,-80.75
28.0,-114.25
28.0,-112.75
28.0,-111.0
28.0,-97.0
28.0,-82.75
28.0,-80.5
27.75,-114.75
27.75,-114.5
27.75,-112.75
27.75,-110.75
27.75,-97.25
27.75,-82.5
27.75,-80.5
27.5,-114.75
27.5,-112.5
27.5,-112.25
27.5,-110.5
27.5,-97.5
27.5,-82.5
27.5,-80.25
27.25,-114.5
27.25,-112.0
27.25,-110.25
27.25,-97.5
27.25,-82.5
27.25,-80.25
27.0,-114.25
27.0,-114.0
27.0,-111.75
27.0,-110.0
27.0,-97.5
27.0,-82.25
27.0,-80.0
26.75,-113.75
26.75,-113.5
26.75,-113.25
26.75,-111.5
26.75,-109.75
26.75,-109.5
26.75,-97.5
26.75,-82.25
26.75,-80.0
26.5,-113.0
26.5,-112.75
26.5,-111.5
26.5,-109.25
26.5,-97.5
26.5,-82.0
26.5,-80.0
26.25,-112.5
26.25,-111.5
26.25,-109.25
26.25,-97.25
26.25,-81.75
26.25,-80.0
26.0,-112.25
26.0,-111.25
26.0,-109.25
26.0,-97.25
26.0,-81.75
26.0,-80.0
25.75,-112.0
25.75,-111.25
25.75,-109.25
25.75,-97.25
25.75,-81.5
25.75,-80.25
25.5,-112.0
25.5,-111.0
25.5,-109.0
25.5,-97.25
25.5,-81.25
25.5,-80.25
25.25,-112.0
25.25,-111.0
25.25,-108.75
25.25,-108.5
25.25,-97.5
25.25,-81.0
25.25,-80.75
25.25,-80.5
25.25,-80.25
25.0,-112.25
25.0,-110.75
25.0,-108.25
25.0,-97.75
24.75,-112.25
24.75,-112.0
24.75,-110.75
24.75,-108.0
24.75,-97.75
24.5,-111.75
24.5,-111.5
24.5,-110.75
24.5,-107.75
24.5,-97.75
24.25,-111.25
24.25,-110.5
24.25,-110.25
24.25,-110.0
24.25,-107.5
24.25,-107.25
24.25,-97.75
24.0,-111.0
24.0,-109.75
24.0,-107.0
24.0,-97.75
23.75,-110.75
23.75,-110.5
23.75,-109.75
23.75,-106.75
23.75,-97.75
23.5,-110.25
23.5,-109.5
23.5,-106.5
23.5,-97.75
23.25,-110.25
23.25,-109.5
23.25,-106.5
23.25,-97.75
23.25,-82.25
23.25,-82.0
23.25,-81.75
23.0,-110.0
23.0,-109.75
23.0,-106.25
23.0,-97.75
23.0,-83.25
23.0,-83.0
23.0,-82.75
23.0,-82.5
23.0,-81.5
23.0,-81.25
23.0,-81.0
23.0,-80.75
23.0,-80.5
23.0,-80.25
23.0,-80.0
22.75,-106.0
22.75,-97.75
22.75,-84.0
22.75,-83.75
22.75,-83.5
22.75,-82.75
22.75,-82.5
22.75,-82.25
