time,lon,traj_lons,lat,traj_lats,level,HUC8,coord_pair
2017-09-22 20:00:00,-97.5,-97.57428041114272,26.75,26.764260336004476,963.1764685731694,11040003,"(26.75, -97.5)"
2004-04-02 06:00:00,-97.5,-97.62010873816263,26.75,26.870881939232753,954.3356646422897,14020006,"(26.75, -97.5)"
2010-07-23 14:00:00,-98.5,-98.40237741370835,26.25,26.18856828503626,900.8620174096146,13020101,"(26.25, -98.5)"
2013-09-08 13:00:00,-98.5,-98.50120688629565,26.25,26.32633195373228,874.7888099913546,13020101,"(26.25, -98.5)"
2013-09-11 10:00:00,-99.0,-98.96866923367284,26.0,26.081588640435587,675.2901633427997,13020101,"(26.0, -99.0)"
2017-05-08 12:00:00,-97.5,-97.44928825639445,26.75,26.862881393598038,985.9928087649138,13020101,"(26.75, -97.5)"
2000-10-27 15:00:00,-98.0,-98.03122166416449,26.5,26.5575453497868,952.3283719699365,11020011,"(26.5, -98.0)"
2017-09-22 13:00:00,-99.0,-98.91956858941934,26.0,25.981765691803265,982.4458894058023,11020011,"(26.0, -99.0)"
2015-09-20 23:00:00,-98.5,-98.60345882497948,26.25,26.15349985134002,839.7940910045588,11040004,"(26.25, -98.5)"
2015-09-20 22:00:00,-98.5,-98.55824904704623,26.25,26.134387331506645,840.7450279549884,11040004,"(26.25, -98.5)"
2023-10-01 09:00:00,-94.5,-94.42556990329507,28.25,28.361220311440054,874.7243387453059,11040004,"(28.25, -94.5)"
2008-07-26 10:00:00,-99.0,-98.89791941928866,26.0,26.124142852273643,983.1022296899938,10250003,"(26.0, -99.0)"
2023-05-09 01:00:00,-97.5,-97.48931677370942,26.75,26.82700970383842,956.9985912393224,10250003,"(26.75, -97.5)"
2006-10-04 04:00:00,-97.5,-97.49191328409783,26.75,26.80319553137849,998.7855035569636,14080101,"(26.75, -97.5)"
2013-09-08 12:00:00,-99.0,-98.87888589079736,26.0,26.103617174102933,640.8729273348921,14080101,"(26.0, -99.0)"
2006-10-04 08:00:00,-98.0,-98.03399163160893,26.5,26.58270091841342,798.6710376630732,14020004,"(26.5, -98.0)"
2017-09-25 05:00:00,-99.0,-98.90401502517572,26.0,25.95778550911201,898.9001255299398,13010003,"(26.0, -99.0)"
2013-09-10 18:00:00,-96.5,-96.53209931062597,27.25,27.269348734746227,928.5872509587709,11020004,"(27.25, -96.5)"
2007-09-26 07:00:00,-97.5,-97.62206641516741,26.75,26.81845858484637,949.882098365184,10260004,"(26.75, -97.5)"
2007-09-26 06:00:00,-97.5,-97.46797274577784,26.75,26.819128246839927,949.7239998267584,10260004,"(26.75, -97.5)"
2015-07-25 02:00:00,-99.0,-98.89602221476825,26.0,26.096182451108604,914.8584025407222,10260004,"(26.0, -99.0)"
2008-07-26 05:00:00,-98.5,-98.4041946879934,26.25,26.20755562386745,993.2181889675079,10260002,"(26.25, -98.5)"
2015-07-24 22:00:00,-98.0,-97.93561882976437,26.5,26.486869172633817,979.1598340380165,10260002,"(26.5, -98.0)"
2017-09-22 00:00:00,-97.5,-97.52460807750498,26.75,26.78713260976992,998.1344559234234,10260002,"(26.75, -97.5)"
2023-05-09 07:00:00,-96.5,-96.53874813946507,27.25,27.213847864791457,997.530818335739,10260002,"(27.25, -96.5)"
2019-03-10 17:00:00,-99.0,-98.89712217937767,26.0,25.997609802249265,917.5944709154317,14030003,"(26.0, -99.0)"
2007-06-24 12:00:00,-96.0,-95.98552735161208,27.5,27.49456342845609,982.5885581221158,11020013,"(27.5, -96.0)"
2010-09-21 10:00:00,-99.0,-99.03762399048325,26.0,25.906279137331154,953.1243919958712,11020013,"(26.0, -99.0)"
2013-09-10 08:00:00,-96.5,-96.52914029027352,27.25,27.196160524333056,917.3445888509323,11020013,"(27.25, -96.5)"
2018-10-06 10:00:00,-99.0,-98.89416103281577,26.0,25.979436774884,977.51893930447,11020013,"(26.0, -99.0)"
2023-07-06 13:00:00,-97.5,-97.45087277963007,26.75,26.686774196612237,956.168310143112,11020013,"(26.75, -97.5)"
